pro_id,rho_age,rho_p_age,rho_p_adj,gene_name
Q8IUX7,-0.405063715627096,0.000508916031697113,0.0283607299545258,AEBP1
Q8IVD9,-0.393963782696177,0.00074065441449368,0.0352456302523753,NUDCD3
Q8N139,0.382729711602951,0.00106964132100853,0.0444328913346971,ABCA6
Q8NI08,0.380985915492958,0.00113121466997649,0.0454013235551422,NCOA7
Q8WVN6,0.456706908115359,7.50549792845538e-05,0.00843448031356231,SECTM1
Q92743,0.824614352783367,0,0,HTRA1
Q92896,-0.524647887323944,3.77499956805037e-06,0.000860154146668323,GLG1
Q96AY3,-0.43953722334004,0.000146424538435515,0.0128250669253225,FKBP10
Q96CS3,-0.427632461435278,0.00022834225196281,0.0179934622161442,FAF2
Q96D15,-0.393762575452716,0.00074562616047671,0.0352456302523753,RCN3
Q96LD4,0.424849094567404,0.000252786670495705,0.0184732954082656,TRIM47
Q96RW7,-0.410932260228035,0.000415264887515029,0.0252379354085665,HMCN1
Q96SM3,-0.604828973843058,4.76114253095469e-08,2.33460922855582e-05,CPXM1
Q99983,-0.554728370221328,8.28756698602234e-07,0.000205669787369788,OMD
Q9BU61,0.398289738430583,0.000640811884600273,0.0329023757299933,NDUFAF3
Q9BXX0,0.696847753185781,0,0,EMILIN2
Q9GZM6,-0.42468142186452,0.000254333482786732,0.0184732954082656,OR8D2
Q9H4E7,-0.38065057008719,0.00114341815535113,0.0454013235551422,DEF6
Q9H9S4,0.457411133467471,7.29738062677999e-05,0.00835830750251954,CAB39L
Q9NNX6,0.423272971160295,0.000267674817265847,0.0189794191861355,CD209
Q9NQE9,-0.425553319919517,0.0002463841493851,0.0183432999217207,HINT3
Q9NY15,0.454862508383635,8.07696062395793e-05,0.00851866810206057,STAB1
Q9P0G3,0.494500335345406,1.5274862415541e-05,0.00252714112630451,KLK14
Q9P299,-0.487391012743125,2.08824099517136e-05,0.00327304299137911,COPZ2
Q9UBS3,0.412776659959759,0.000389272742340619,0.0246649835466035,DNAJB9
Q9UBX5,-0.47186452045607,4.04576919930941e-05,0.00502012528147643,FBLN5
Q9UK22,0.423977196512408,0.000260925695296474,0.0187237763998289,FBXO2
Q9UKU9,0.672468142186452,0,0,ANGPTL2
Q9UL25,0.458383635144199,7.01877795053819e-05,0.00819683166145205,RAB21
Q9Y240,-0.501140174379611,1.13410110728659e-05,0.00211084568593717,CLEC11A
Q9Y305,0.420824949698189,0.00029240525519478,0.020250763952792,ACOT9
