pro_id	gene_id	pro_name	gene_name
A0A0C4DH69	ENSG00000282758	KV109	IGKV1-9
A0A0C4DH69	ENSG00000241755	KV109	IGKV1-9
A0A0C4DH72	ENSG00000282163	KV106	IGKV1-6
A0A0C4DH72	ENSG00000239855	KV106	IGKV1-6
A0A0C4DH73	ENSG00000282694	KV112	IGKV1-12
A0A0C4DH73	ENSG00000243290	KV112	IGKV1-12
A0A0C5B5G6	ENSG_MT	MOTSC	MT
A0A0D9SF12	ENSG00000280670	CC163	CCDC163
A0A0G2JMD5	ENSG00000282125	PRA33	PRAMEF33
A0A0G2JMD5	ENSG00000276370	PRA33	PRAMEF33
A0A0G2JMD5	ENSG00000283488	PRA33	PRAMEF33
A0A0G2JMD5	ENSG00000237700	PRA33	PRAMEF33
A0A0G2JMI3	ENSG00000275148	HV692	IGHV1-69-2
A0A0G2JMI3	ENSG00000281990	HV692	IGHV1-69-2
A0A0G2JS06	ENSG00000281536	LV539	IGLV5-39
A0A0J9YVY3	ENSG00000282122	HV741	IGHV7-4-1
A0A0J9YWL9	ENSG00000282815	TX13C	TEX13C
A0A0J9YWP8	ENSG00000282500	TJB13	TRBJ1-3
A0A0J9YWP8	ENSG00000282133	TJB13	TRBJ1-3
A0A0J9YWX3	ENSG00000281957	TJB16	TRBJ1-6
A0A0J9YWX3	ENSG00000282780	TJB16	TRBJ1-6
A0A0J9YX06	ENSG00000281989	TJB12	TRBJ1-2
A0A0J9YX06	ENSG00000282420	TJB12	TRBJ1-2
A0A0J9YX35	ENSG00000282639	HV64D	IGHV3-64D
A0A0J9YX57	ENSG_MAGEB6B	MAB6B	MAGEB6B
A0A0J9YX75	ENSG00000282610	TVB69	TRBV6-9
A0A0J9YX94	ENSG00000225110	PMA6F	PNMA6F
A0A0J9YXA8	ENSG00000282320	TJB11	TRBJ1-1
A0A0J9YXG5	ENSG00000282273	TJB14	TRBJ1-4
A0A0J9YXG5	ENSG00000281958	TJB14	TRBJ1-4
A0A0J9YXM7	ENSG00000282215	TJB15	TRBJ1-5
A0A0J9YXM7	ENSG00000282173	TJB15	TRBJ1-5
A0A0J9YXQ4	ENSG00000214897	PMA6E	PNMA6E
A0A0J9YXV3	ENSG00000262152	GREP1	GREP1
A0A0J9YXX1	ENSG00000282651	HV5X1	IGHV5-10-1
A0A0J9YXY3	ENSG00000282719	TVB62	TRBV6-2
A0A0J9YXY3	ENSG00000283063	TVB62	TRBV6-2
A0A0J9YY54	ENSG00000282419	TX13D	TEX13D
A0A0K0K1A3	ENSG00000282618	TVBJ1	TRBV10-1
A0A0K0K1A3	ENSG00000211717	TVBJ1	TRBV10-1
A0A0K0K1A5	ENSG00000277110	TVB65	TRBV6-5
A0A0K0K1A5	ENSG00000211721	TVB65	TRBV6-5
A0A0K0K1B3	ENSG00000282297	TVB30	TRBV30
A0A0K0K1B3	ENSG00000237254	TVB30	TRBV30
A0A0K0K1C0	ENSG00000282711	TVBK1	TRBV11-1
A0A0K0K1C0	ENSG00000211720	TVBK1	TRBV11-1
