Sample_ID,Sex,Age,Gene_name,PRM,DIA
NCN007,male,71,COL6A3,85538.3125,26041.26758
NCN007,male,71,NQO1,189.1144257,52.01160812
NCN007,male,71,DSP,13315.2666,4921.178711
NCN007,male,71,FLNA,6374.416016,9576.577148
NCN007,male,71,TNXB,3115.415039,1967.985474
NCN007,male,71,FDXR,371.0585327,167.173233
NCN007,male,71,PSMB9,443.7910767,80.28829193
NCN007,male,71,ATIC,511.6838074,396.0175781
NCN007,male,71,YWHAB,4211.482422,6738.15625
NCN007,male,71,PRDX2,3614.522217,947.1920166
NCN007,male,71,FBN1,6216.89209,5440.091309
NCN007,male,71,TIMP3,1041.874023,405.8410339
NCN007,male,71,GPX4,546.8582764,315.3388977
NCN007,male,71,TSFM,209.1089935,120.6523514
NCN007,male,71,ACADSB,130.9665527,89.92308807
NCN007,male,71,GSTM5,324.5783691,1313.484375
NCN007,male,71,LGALS7B,26428.23438,14987.36816
NCN007,male,71,LGALS7,26428.23438,14987.36816
NCN007,male,71,SERPINB8,279.6303406,245.0297241
NCN007,male,71,EPPK1,1294.730225,2856.635742
NCN007,male,71,S100A10,19204.71094,6538.468262
NCN007,male,71,RPS8,1262.281128,1553.159546
NCN007,male,71,RPS27A,47.37678146,4041.648438
NCN007,male,71,TUBB4B,4077.952148,13722.39648
NCN007,male,71,HBB,84170.25,13296.33105
NCN007,male,71,PRKDC,326.4955444,409.5577698
NCN007,male,71,HSPG2,1104.077148,2406.962402
NCN007,male,71,SPTBN1,1610.872192,1370.644409
NCN007,male,71,AHNAK,5755.902832,3207.243164
NCN007,male,71,CNTN1,199.0658417,126.5740585
NCN007,male,71,SGCG,95.04451752,18.66303253
NCN007,male,71,STIM1,322.4812317,69.55292511
NCN007,male,71,SPTAN1,1686.642212,2350.799072
NCN007,male,71,PKP1,10381.08008,6242.798828
NCN007,male,71,DYNC1H1,741.4008179,3550.345215
NCN007,male,71,PLEC,1848.564209,3981.51123
NCN007,male,71,ELOC,173.2959747,141.4275818
NCN007,male,71,QPCT,282.7924805,116.5452194
NCN007,male,71,HSP90AB4P,92.67588806,72.11592865
NCN007,male,71,CAVIN1,3383.857666,1073.643311
NCN007,male,71,PLBD1,228.6849823,128.5921021
NCN007,male,71,DGAT2L6,40.14897537,20.32590675
NCN007,male,71,DGLUCY,248.5324554,132.7001495
NCN007,male,71,TMEM179B,143.0973358,72.38176727
NCN007,male,71,STING1,370.6610107,130.2517395
NCN007,male,71,AHNAK2,2998.201416,1082.40918
NCN007,male,71,CMTR1,9.22944355,24.93792725
NCN007,male,71,PTGR3,67.07321167,38.14791107
NCN007,male,71,DDB2,143.8813629,64.56851959
NCN007,male,71,ARL8A,209.6883545,189.2337189
NCN007,male,71,PTER,252.8134003,51.5213356
NCN007,male,71,MMAB,190.4011078,73.2326355
NCN007,male,71,PDLIM2,552.362793,131.2217255
NCN007,male,71,HNRNPAB,583.4081421,416.3202515
NCN007,male,71,CPNE1,934.2086792,433.5921326
NCN007,male,71,TREX2,59.0587883,5.494389534
NCN007,male,71,AAMDC,192.4252319,130.0466156
NCN007,male,71,FN3KRP,230.734726,51.92753983
NCN007,male,71,PLGRKT,263.6365356,68.59666443
NCN007,male,71,CZIB,91.56149292,23.2552681
NCN007,male,71,ERAP1,925.3937988,347.0490417
NCN007,male,71,COPG2,68.39652252,28.49149895
NCN007,male,71,NIPSNAP3A,403.747406,294.9315796
NCN007,male,71,COG6,26.49386215,22.65231895
NCN007,male,71,CRYBG1,99.34919739,187.2353058
NCN007,male,71,ATP6V1D,376.5843201,154.6005402
NCN007,male,71,SQOR,1087.56958,1084.55896
NCN008,female,43,FLNB,482.8500977,3231.302734
NCN008,female,43,NDUFB1,684.836731,116.0344238
NCN008,female,43,H6PD,292.8304138,632.7058105
NCN008,female,43,F12,366.1476135,136.4020081
NCN008,female,43,CSTA,3693.853516,2788.082764
NCN008,female,43,IGKC,176042.75,933.1300659
NCN008,female,43,IGHG3,2618.106934,3537.950439
NCN008,female,43,IGHM,4297.250977,5029.144043
NCN008,female,43,IGHA1,11807.96777,6468.339355
NCN008,female,43,HBD,29173.29492,6911.049316
