pro_id,intensity,tissue
P17010,12.4335466798015,heart
P17010,17.7048771276027,liver
P17010,18.3479388630772,lung
P17010,14.0113250485042,thyroid
P13473,20.9722643189475,colon
P13473,19.8899325413192,heart
P13473,23.9666661341316,liver
P13473,24.8279137473105,lung
P13473,23.9553593891823,thyroid
P08514,17.5450911531538,heart
P08514,21.5274825230539,liver
P08514,22.4243054359765,lung
P08514,17.9047913142803,thyroid
Q9NZC3,18.7952201337126,colon
Q9NZC3,19.1963447107968,heart
Q9NZC3,14.221253020126,liver
Q9NZC3,20.5427315364883,lung
Q9NZC3,18.235867727392,thyroid
O75462,15.3481866435348,lung
O75462,17.2154348172245,thyroid
Q9BZF2,14.1809353144272,heart
Q9BZF2,14.9714573013181,lung
Q9BZF2,14.2841475464043,thyroid
Q9Y2Y6,12.2640463851829,lung
Q9Y2T7,17.3898248894923,liver
O60359,13.637244937355,liver
Q24JP5,17.2426614159519,colon
P63010,24.7363933865921,colon
P63010,23.227579210519,heart
P63010,23.7148181153259,liver
P63010,25.351657268369,lung
P63010,24.7399016843586,thyroid
Q8TB22,20.4642564161082,colon
Q8TB22,22.3328559095176,heart
Q8TB22,22.0119218219057,liver
Q8TB22,19.0310356346265,lung
Q8TB22,21.2590210864317,thyroid
Q9NP84,19.888549265116,heart
Q9NP84,15.4783351505904,lung
Q9NP84,14.1166739335225,thyroid
P11233,24.1114735242091,colon
P11233,22.9799784465195,heart
P11233,23.8051525726322,liver
P11233,25.6738214590291,lung
P11233,23.9770109650153,thyroid
Q9UHR4,19.4220296479027,colon
Q9UHR4,21.6618534509794,liver
Q9UHR4,20.3948217238563,lung
Q9UHR4,20.3991902061073,thyroid
Q53H12,22.85161369354,colon
Q53H12,24.0709756036141,heart
Q53H12,23.198014361231,liver
Q53H12,22.9140915873256,lung
Q53H12,22.8183310409291,thyroid
P43353,17.9974398767813,colon
P43353,10.6084537972441,heart
P43353,17.314214704848,liver
P43353,22.5846852246474,lung
O94887,17.6203272672472,colon
O94887,22.7446448514128,liver
O94887,19.0350607523489,lung
O94887,19.6078620030868,thyroid
Q9Y6N9,17.8883154491857,colon
O75223,23.4530514552675,colon
O75223,22.551505082468,heart
O75223,24.3110932408804,liver
O75223,24.3498131456217,lung
O75223,23.8175105378791,thyroid
Q8N7H5,20.2085883924264,colon
Q8N7H5,18.5123086520863,heart
Q8N7H5,20.7322323194938,liver
Q8N7H5,21.3163122880567,lung
Q8N7H5,20.978186911277,thyroid
P49754,19.7626751399174,colon
P49754,19.7545807567578,heart
P49754,20.2122566268787,liver
P49754,21.3694924897982,lung
P49754,19.8513875984733,thyroid
Q17R89,13.6769368051439,colon
Q17R89,13.763264613725,heart
Q17R89,20.2023951469484,lung
Q17R89,17.7656177420485,thyroid
Q9BQ52,18.6671174837661,colon
Q9BQ52,18.9705041182203,heart
Q9BQ52,21.4999696411947,liver
Q9BQ52,19.8923536966844,lung
Q9BQ52,20.3961084379085,thyroid
Q9Y6U3,21.0678881731086,colon
Q9Y6U3,15.4590582327106,heart
Q9Y6U3,16.1475596851538,liver
Q9Y6U3,23.0225451677725,lung
Q9Y6U3,19.1688641553861,thyroid
P51689,20.6073470085018,liver
P51689,19.5722849800741,lung
P51689,17.8996018911084,thyroid
P41247,12.4123458520977,heart
P41247,14.714203297308,liver
Q9UKX3,20.8035691107551,colon
Q9UKX3,26.1723286836437,heart
Q9UKX3,20.6600040396802,liver
Q9UKX3,18.821058956415,lung
Q96L34,17.1692635778117,colon
O43490,13.4313633846902,colon
O43490,13.4511089821978,heart
O43490,15.1396554374732,lung
O43490,17.8277387441611,thyroid
Q96CT7,21.889045310282,colon
Q96CT7,21.7159226825212,heart
