gene_id,rho,rho_p,protein_log_median,protein_log_mean,rna_log_median,rna_log_mean
ENSG00000017797,0.0230769643721689,0.746291657644636,3.66999362372102,3.22842318392194,2.55754777873965,2.53472601720685
ENSG00000018189,0.0862917442254093,0.225555176752835,1.97450125646283,1.91306207655569,2.51720270541239,2.51728346033283
ENSG00000018236,0.531722247601645,0,4.39284531958663,4.37105474004874,2.40665556295776,2.30750227143722
ENSG00000018510,0.165951030132123,0.0191526535334609,4.12548378225919,4.10420796597472,1.25545239825865,1.2500004222436
ENSG00000018610,0.0143326415637608,0.840758464196443,2.5023515128131,2.10345322854399,1.3837848280525,1.37626340221061
ENSG00000018699,0.04180672940483,0.557675505915929,1.3365344152892,0.951100111435188,1.83497443148459,1.8486193365367
ENSG00000019144,0.0869038829202572,0.222268684078502,3.78301228042774,3.59039182503768,0.929345971225942,0.896011802157563
ENSG00000019582,0.43008984315517,3.35895803911282e-10,4.96787376572899,4.9612666179037,3.86127694947476,3.82400670734374
ENSG00000020129,0.0672531567045133,0.345264202068895,4.02949098221425,3.17578562359566,0.137574879444713,0.0912343982352558
ENSG00000020181,0.211937984591578,0.00265465399861401,3.42387827779826,3.29551471315857,0.944417664089612,0.961215116826531
ENSG00000020922,0.065722552154713,0.356070339376938,4.77801732438958,4.75354386379836,1.70433033710644,1.68890734661976
ENSG00000021355,0.440986751941526,1.02233666072492e-10,6.95715851328091,7.03969062621283,2.10790415256218,2.18905547118549
ENSG00000021776,0.14360895386021,0.0430854804738481,3.32816401908817,3.34004095525105,1.8186951482263,1.79919754623876
ENSG00000022267,0.343246535708847,8.16180396120782e-07,6.9525630305292,6.97244688248168,2.3458111370464,2.38758354093937
ENSG00000023191,0.247129587330592,0.000449880451319671,7.87052854802524,7.85145617708714,1.81394908180424,1.78700526656558
ENSG00000023228,0.222179077204203,0.00164786832896075,5.917938985897,5.91611802068207,2.07731605324969,2.05912570373664
ENSG00000023287,-0.0626481869956564,0.379369866353965,2.44159841130708,3.2937771692154,2.7286358926774,2.70455836641471
ENSG00000023318,-0.0284650525354043,0.68957226650857,5.83852181150559,5.85406123921365,2.03410219782525,2.03702115917054
ENSG00000023697,0.215102786660576,0.00232535871886056,5.26509139334196,5.25861821856336,1.71731435506691,1.69628080758232
ENSG00000023734,-0.140440079183798,0.0479400175938037,5.25293524878554,5.24912634137549,3.08484989485219,3.10804454229039
ENSG00000023892,-0.0954050032656922,0.180104152729886,4.52746743308378,4.32860888159717,1.33227721326957,1.23546756651806
ENSG00000023909,0.115230698949292,0.105049831831811,5.05768211221908,5.05083828985354,0.387597354922824,0.393834452158188
ENSG00000024048,-0.114959384391934,0.105910560739811,-0.245649796857221,0.553657103310883,2.53549914087474,2.51206464260776
ENSG00000024422,0.189358915791077,0.00746767697728862,6.92338229465122,6.95082902232944,2.02330916981948,2.04239346729692
ENSG00000025708,0.270784224151058,0.000116025355987302,6.21302469209578,6.26784815853392,1.27595659219324,1.23546063785281
ENSG00000025772,-0.035218799682373,0.62141511399112,4.60402649632433,4.36293078241694,1.07718604401833,1.09072686203897
ENSG00000025796,0.0192927489446691,0.786799925890753,3.4401099617704,3.38205213288409,2.1161296707209,2.09128638781221
ENSG00000025800,-0.0466864626161109,0.512271964268061,4.99698295355333,4.96821686052029,2.78826076443065,2.77877333774312
ENSG00000026025,0.29384650525354,2.74259215334213e-05,10.4702476251858,10.5043424437323,4.54372266477924,4.59256208588644
ENSG00000026297,-0.0035252017664078,0.960560253768237,4.93257323225923,4.92433675003303,0.396689764392255,0.358215501994691
ENSG00000026508,0.0750799451804477,0.291635171051168,6.31657233805824,6.3225443972538,4.78455325494812,4.81663434465337
ENSG00000026950,0.160722285772163,0.0233446365495892,2.02075237565988,2.70981759865472,1.3685104760393,1.37468976649026
ENSG00000027001,0.00885795561943583,0.901179017357199,3.57476254007627,2.92659713233785,2.08601254722948,2.06778596766933
ENSG00000028116,0.0994191673040041,0.162380916694063,2.24848325275232,1.83941454272354,1.49460880565882,1.48135571442002
ENSG00000028528,0.0610674585046444,0.39121557290531,5.19425613978205,5.17863561444375,2.33812163355261,2.31836946405586
ENSG00000029363,-0.0848481768671328,0.233441446689753,0.353195627932586,0.119902563125162,3.23927749298896,3.2236548051144
ENSG00000029725,0.117245694312114,0.0991009695632541,3.21080047522265,2.96656390577538,1.94449396628312,1.94937554357015
ENSG00000029993,0.115524621756216,0.104193711566259,3.70166293932708,3.4511051972285,0.73437230476805,0.717434425918593
ENSG00000030066,0.103814527181361,0.14440860426463,4.48731990447076,4.48310042094573,2.04439513187058,2.04093179663333
