gene_id,NC005,NC012,NC013,NC026,NC028,NC032,NC033,NC034,NC035,NC036,NC040,NC041,NC042,NC043,NC046,NC047,NC048,NC050,NC054,NC055,NC056,NC057,NC059,NC060,NC063,NC064,NC067,NC068,NC069,NC070,NC073,NC075,NC077,NC078,NC079,NC080,NC081,NC084,NC085,NC086,NC087,NC089,NC090,NC091,NC093,NC094,NC095,NC096,NC101
ENSG00000270591,0,0.0162765663157895,0,0,0.0934333894736842,0.0137931726315789,0,0.0490799178947368,0,0.110765349473684,0,0,0.14548176,0,0.0085374,0.0612484294736842,0,0,0.0531744631578947,0.0076628084210526,0.0111165347368421,0.265424741052632,0,0,0,0.00210924,0,0,0.0827513557894737,0,0.678584267368421,0,0,0,0,0,0,0,0.0029761957894736,0,0.0088293221052631,0,0.127799033684211,0,0.0389390021052632,0.0070912989473684,0,0.0556589115789474,0
ENSG00000254141,1.18444,1.435642,1.385548,1.003393,0.499949,1.235827,3.206516,0.699884,0.43043,1.069691,0.831014,0.784213,0.776538,1.085383,1.555566,0.4042,0.436131,0.9936,0.780192,1.211726,0.674211,0.545503,0.736996,0,1.12419,0.954737,5.061875,0.61603,1.389072,0.803099,1.520788,0.704015,0.947122,2.454807,0.904027,1.431866,0.763251,0.631561,0.555885,0.617262,0.698871,1.309205,0.548869,2.267372,0.624978,0.292881,1.05223,0.891226,0.873667
ENSG00000225108,0,0,0,0.094563,0.143039,0,0,0,0,0.060576,0,0,0,0,0,0,0,0,0.260708,0,0,0,0,0,0,0,0,0,0,0,0,0.074642,0,0,0.125855,0,0,0,0,0,0,0,0,0,0,0.103686,0.049041,0,0
ENSG00000248287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047243,0.08353,0,0,0,0,0,0,0.06166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225101,0.0795529078703704,0.04844,0.0647186935185185,0.0840192143518518,0.012726,0.0469875944444444,0,0.128282689351852,0.0179209291666667,0.01692,0.0789213550925926,0.0644990171296296,0.078464275,0.470829702777778,0.323618714814815,0.284571468981481,0,0.0096919444444444,0,0.212499387962963,0.120253551388889,0.023211,0.0323951060185185,0,0,0.0636671555555555,0.345963536574074,0,0.124496153703704,0.170001856018518,0.104115740277778,0.037843550462963,0.148010835185185,0.287608499537037,0.174411122222222,0.384386894444444,0.0286462444444444,0.0821132657407407,0.0524379083333333,0.120566,0,0.024204,0.131686876388889,0.0981032694444444,0.160854844444444,0.034707,0.0827849759259259,0.0852020759259259,0.0995130203703704
ENSG00000225102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233579,0.127192,0.172517,0.150066,0.018201,0.091759,0,0.029341,0.115222,0.024369,0.351773,0.034601,0.167202,0.064665,0.112611,0.074095,0.126363,0.088275,0.099336,0,0.078986,0.198467,0.163236,0.049629,0.017999,0.073732,0.188924,0.033546,0.11511,0.081789,0.172374,0.039102,0.143375,0.386714,0.018856,0.165884,0.0883,0.102586,0.302197,0.108667,0.02923,0.070213,0.03483,0.103396,0.070554,0.158722,0.136428,0.175668,0.063062,0.418676
ENSG00000225105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147406,0,0,0,0,0,0
ENSG00000225106,0.0348040155096012,0.0677586491875923,0,0.0365063227474151,0.237155081240768,0,0,0,0.433509183161004,0.125310433530281,0.0607078153618907,0,0,0.0082482296898079,0.241552559822747,0,0.0412575243722304,0.0088938877400295,0.101198865583456,0.0951221085672083,0.0343476713441654,0,0,0.0481620768094535,0.0558846085672083,0.0430477976366322,0,0,0.0535943626292467,0.0098094350073855,0,0.190222072378139,0,0,0,0.0334074017725258,0.0230263943870015,0,0.180942035450517,0.161767487444609,0.0290089387001477,0,0.125106988921713,0,0.0201232732644018,0.24405229394387,0,0,0.143574399556869
ENSG00000225107,0,0.059606,0.211995,0.086546,0.205923,0.085803,0,0.159924,0.524353,0,0,0,0.274497,0,0,0,0,0,0,0,0.261598,0,0,0,0,0.070409,0,0,0.043557,0,0,0.128408,0,0,0,0,0,0,0.112014,0,0,0.202093,0.391094,0.343174,0,0,0,0,0
