disease,pro_id,nsnps,PP.H0.abf_r1,PP.H1.abf_r1,PP.H2.abf_r1,PP.H3.abf_r1,PP.H4.abf_r1
pso_eur,P28072,3211,0.7,0.2,0.1,0,0
pso_eur,O14939,3237,0.6,0.2,0.1,0,0
pso_eur,Q8N4C8,3291,0.7,0.2,0.1,0,0
pso_eur,P62829,995,0.9,0.1,0,0,0
pso_eur,Q14847,1002,0.6,0.3,0,0,0
pso_eur,P84098,1395,0.8,0.1,0,0,0
pso_eur,Q9BRT3,1770,0.3,0.1,0.5,0.1,0
pso_eur,Q96QA5,1740,0.3,0.1,0.5,0.1,0
pso_eur,O43242,1725,0.3,0,0.5,0.1,0
pso_eur,Q9UHV5,1403,0.3,0,0.5,0.1,0
pso_eur,P07359,3456,0.6,0.2,0.1,0,0
pso_eur,Q02978,3481,0.6,0.3,0.1,0.1,0
pso_eur,Q8IZW8,1391,0.3,0,0.5,0.1,0
pso_eur,P07737,3493,0.6,0.2,0.1,0,0
pso_eur,P13929,3499,0.6,0.2,0.1,0,0
pso_eur,Q969G3,1314,0.3,0,0.5,0.1,0
pso_eur,O75391,3538,0.6,0.2,0.1,0,0
pso_eur,P13645,1372,0.3,0,0.5,0.1,0
pso_eur,Q99456,1457,0.3,0,0.5,0.1,0
pso_eur,P35900,1440,0.3,0,0.5,0.1,0
pso_eur,Q9C075,1414,0.2,0,0.4,0.1,0.2
pso_eur,O76009,1310,0.3,0,0.5,0.1,0
pso_eur,Q15323,1344,0.3,0,0.5,0.1,0.1
pso_eur,P19012,1398,0.1,0,0.7,0.1,0.1
pso_eur,P08727,1406,0.1,0,0.8,0.1,0
pso_eur,P35527,1441,0,0,0.8,0.1,0
pso_eur,P02533,1449,0,0,0.4,0.1,0.5
pso_eur,P08779,1445,0,0,0.8,0.1,0.1
pso_eur,Q04695,1444,0,0,0.8,0.1,0.1
pso_eur,P41567,1418,0,0,0.8,0.1,0.1
pso_eur,P14923,1282,0,0,0.8,0.1,0.1
pso_eur,Q96AY3,1266,0,0,0.5,0.1,0.4
pso_eur,P53396,1251,0,0,0.8,0.1,0.1
pso_eur,P09543,1279,0,0,0.8,0.1,0.1
pso_eur,Q9NYR9,1314,0,0,0.8,0.1,0.1
pso_eur,Q99615,1314,0,0,0.8,0.1,0.1
pso_eur,P51148,1505,0,0,0.8,0.1,0.1
pso_eur,P42229,1593,0,0,0.8,0.1,0.1
pso_eur,P51692,1593,0,0,0.8,0.1,0.1
pso_eur,P40763,1722,0,0,0.7,0.1,0.1
pso_eur,Q6NZI2,1778,0,0,0.8,0.1,0.1
pso_eur,Q93050,1711,0,0,0.8,0.1,0.1
pso_eur,P54802,1606,0,0,0.8,0.1,0.1
pso_eur,Q13057,1645,0,0,0.8,0.1,0
pso_eur,Q86VR2,1717,0,0,0.8,0.1,0
pso_eur,P23258,1719,0,0,0.8,0.1,0
pso_eur,Q9BRG1,1863,0,0,0.8,0.1,0.1
pso_eur,Q9Y2R0,1897,0,0,0.7,0.1,0.1
pso_eur,Q14457,1864,0,0,0.8,0.1,0.1
pso_eur,P61289,1839,0,0,0.8,0.1,0.1
pso_eur,Q16853,1806,0,0,0.8,0.1,0
pso_eur,Q9BTE6,1818,0,0,0.6,0.2,0.2
pso_eur,P61353,1844,0,0,0.7,0.2,0
pso_eur,P80217,1843,0,0,0.8,0.1,0.1
pso_eur,Q99536,1847,0,0,0.8,0.1,0.1
pso_eur,Q14562,1868,0,0,0.8,0.1,0.1
pso_eur,Q15276,3810,0.6,0.2,0.1,0,0
pso_eur,P51452,2045,0.8,0.1,0,0,0
pso_eur,Q3MHD2,2349,0.8,0.2,0,0,0
pso_eur,Q9UQL6,2400,0.8,0.1,0,0,0
pso_eur,P17480,2379,0.8,0.1,0,0,0
pso_eur,P02730,2428,0.8,0.2,0,0,0
pso_eur,P28799,2407,0.8,0.2,0,0,0
pso_eur,P08514,2351,0.8,0.2,0,0,0
pso_eur,Q96MW1,1926,0.8,0.2,0,0,0
pso_eur,Q15029,1723,0.8,0.1,0,0,0
pso_eur,P30419,1595,0.8,0.2,0,0,0
pso_eur,Q8WVC6,1508,0.3,0.6,0,0,0
pso_eur,O94992,1419,0.9,0.1,0,0,0
pso_eur,Q99567,4112,0.6,0.2,0.1,0.1,0
pso_eur,O95466,1346,0.9,0.1,0,0,0
pso_eur,Q07021,4079,0.6,0.2,0.1,0.1,0
pso_eur,Q9GZP9,4135,0.6,0.2,0.1,0.1,0
pso_eur,Q9H081,4135,0.6,0.2,0.1,0.1,0
pso_eur,P10636,647,0.9,0.1,0,0,0
pso_eur,P46459,1219,0.9,0.1,0,0,0
pso_eur,O14653,1613,0.8,0.1,0,0,0
pso_eur,P30260,1990,0.8,0.1,0.1,0,0
pso_eur,P05106,2082,0.7,0.2,0.1,0,0
pso_eur,P55786,2509,0.6,0.2,0.1,0,0
pso_eur,Q14974,2669,0.6,0.1,0.2,0,0
pso_eur,Q96FV2,2976,0.6,0.2,0.2,0,0
pso_eur,Q9NVS9,3111,0.5,0.2,0.2,0.1,0
pso_eur,Q96JB5,3133,0.5,0.2,0.2,0.1,0
pso_eur,Q9P299,3033,0.5,0.2,0.2,0.1,0
pso_eur,P83916,3002,0.5,0.2,0.2,0.1,0
pso_eur,Q13137,2733,0.2,0.1,0.5,0.1,0
pso_eur,Q9H832,2748,0.2,0.1,0.5,0.1,0
pso_eur,Q96H20,2781,0.2,0.1,0.5,0.2,0
pso_eur,P35232,2778,0.2,0.1,0.5,0.2,0
pso_eur,P78383,2732,0.2,0.1,0.5,0.1,0
pso_eur,P26006,2700,0.2,0.1,0.5,0.1,0.1
pso_eur,Q96SB3,2601,0.2,0.1,0.5,0.2,0
pso_eur,P02452,2614,0.2,0.1,0.5,0.1,0
pso_eur,Q9P0M9,2530,0.6,0.1,0.2,0.1,0
pso_eur,Q96AG4,2577,0.6,0.2,0.2,0.1,0
pso_eur,Q96CM8,2623,0.6,0.2,0.2,0,0
pso_eur,Q8TB22,2644,0.6,0.2,0.2,0,0
pso_eur,O95232,2705,0.5,0.2,0.2,0.1,0
pso_eur,O60271,2697,0.7,0.2,0.1,0,0
pso_eur,P15531,2709,0.7,0.2,0.1,0,0
pso_eur,O75674,3448,0.1,0,0.6,0.2,0
pso_eur,Q14258,2548,0.7,0.2,0.1,0,0
pso_eur,Q9HB40,2359,0.8,0.2,0.1,0,0
pso_eur,Q96DH6,1944,0.7,0.2,0,0,0
pso_eur,Q9BRA2,4129,0.6,0.2,0.2,0.1,0
pso_eur,Q9Y3D9,1939,0.8,0.1,0,0,0
pso_eur,Q14119,1933,0.8,0.2,0,0,0
pso_eur,Q07955,1924,0.8,0.2,0,0,0
pso_eur,Q96FJ2,1877,0.8,0.2,0,0,0
pso_eur,P11678,1735,0.7,0.2,0,0,0
pso_eur,P05164,1760,0.8,0.1,0.1,0,0
pso_eur,P63272,1739,0.8,0.1,0.1,0,0
pso_eur,Q8ND04,1654,0.8,0.1,0.1,0,0
pso_eur,Q00610,1352,0.8,0.1,0.1,0,0
pso_eur,Q96GC9,1298,0.8,0.1,0.1,0,0
pso_eur,P23443,1328,0.8,0.1,0.1,0,0
pso_eur,P22748,1342,0.8,0.1,0.1,0,0
pso_eur,P18054,3550,0.5,0.2,0.2,0.1,0
pso_eur,Q8IXM2,3515,0.5,0.2,0.2,0.1,0
pso_eur,Q9UBG0,1606,0.8,0.2,0,0,0
pso_eur,P49748,3525,0.5,0.2,0.2,0.1,0
pso_eur,P49447,1506,0.7,0.3,0,0,0
pso_eur,P12821,1477,0.9,0.1,0,0,0
pso_eur,P61962,1437,0.8,0.1,0,0,0
pso_eur,Q9BSH4,1421,0.9,0.1,0,0,0
pso_eur,Q96A33,1229,0.9,0.1,0,0,0
pso_eur,Q86XP3,1228,0.9,0.1,0,0,0
pso_eur,P62195,1184,0.9,0.1,0,0,0
pso_eur,Q8IY81,1183,0.8,0.2,0,0,0
pso_eur,Q92925,1152,0.9,0.1,0,0,0
pso_eur,P13598,1045,0.9,0.1,0,0,0
pso_eur,P63241,3364,0.5,0.2,0.2,0.1,0
pso_eur,Q15027,3327,0.5,0.2,0.2,0.1,0
pso_eur,P16284,1325,0.9,0.1,0,0,0
pso_eur,Q9UHN1,1472,0.9,0.1,0,0,0
pso_eur,P17844,1467,0.8,0.1,0,0,0
pso_eur,Q14344,2064,0.8,0.1,0,0,0
pso_eur,P24928,3140,0.5,0.2,0.2,0.1,0
pso_eur,Q8N8E3,3816,0.6,0.3,0.1,0,0
pso_eur,P02749,3796,0.6,0.3,0.1,0,0
pso_eur,P17252,3809,0.7,0.2,0.1,0,0
pso_eur,O75888,3048,0.5,0.2,0.2,0.1,0
pso_eur,P60842,3033,0.6,0.2,0.2,0.1,0
pso_eur,O75352,3013,0.6,0.2,0.2,0.1,0
pso_eur,P04278,2995,0.5,0.2,0.2,0.1,0
pso_eur,P51116,2997,0.6,0.2,0.2,0.1,0
pso_eur,Q96F10,2985,0.6,0.1,0.2,0.1,0
pso_eur,O00232,3177,0.7,0.2,0.1,0,0
pso_eur,Q9H8H0,3186,0.6,0.2,0.1,0,0
pso_eur,Q12830,3310,0.6,0.2,0.1,0,0
pso_eur,P52292,3190,0.6,0.2,0.1,0,0
pso_eur,P10644,3391,0.6,0.2,0.1,0,0
pso_eur,O94911,3514,0.6,0.2,0.1,0.1,0
pso_eur,Q8N139,3349,0.6,0.2,0.1,0,0
pso_eur,P52564,2967,0.7,0.2,0.1,0,0
pso_eur,Q9Y5R8,3070,0.5,0.2,0.2,0.1,0
pso_eur,O15296,3019,0.5,0.2,0.2,0.1,0
pso_eur,O75342,2929,0.6,0.2,0.2,0.1,0
pso_eur,P63027,2782,0.6,0.2,0.2,0.1,0
pso_eur,Q96GS4,2856,0.6,0.2,0.2,0.1,0
pso_eur,Q8N1S5,3222,0.7,0.2,0.1,0,0
pso_eur,Q8WTW3,3210,0.6,0.3,0.1,0,0
pso_eur,O15067,2945,0.6,0.2,0.2,0.1,0
pso_eur,P63173,3469,0.7,0.2,0.1,0,0
pso_eur,O14745,2765,0.7,0.2,0.1,0,0
pso_eur,P61254,2975,0.6,0.2,0.2,0,0
pso_eur,P22570,2684,0,0.9,0,0.1,0
pso_eur,Q14197,2748,0.7,0.2,0.1,0,0
pso_eur,O75947,2712,0.7,0.2,0.1,0,0
pso_eur,Q8TCD5,2724,0.7,0.2,0.1,0,0
pso_eur,Q9UK76,2718,0.7,0.2,0.1,0,0
pso_eur,P61956,2731,0.7,0.2,0.1,0,0
pso_eur,Q9BW27,2703,0.7,0.2,0.1,0,0
pso_eur,Q9Y2R9,2708,0.7,0.2,0.1,0,0
pso_eur,A9UHW6,2701,0.7,0.2,0.1,0,0
pso_eur,P62993,2732,0.7,0.2,0.1,0,0
pso_eur,Q6P1M3,2673,0.7,0.2,0.1,0,0
pso_eur,Q9UHR5,2612,0.7,0.2,0.1,0,0
pso_eur,P16144,2700,0.7,0.2,0.1,0,0
pso_eur,P51570,2694,0.7,0.2,0.1,0,0
pso_eur,Q70J99,2731,0.7,0.2,0.1,0,0
pso_eur,Q969T9,2742,0.7,0.2,0.1,0,0
pso_eur,Q96LD4,2749,0.7,0.2,0.1,0,0
pso_eur,Q96DV4,2832,0.7,0.2,0.1,0,0
pso_eur,Q15067,3021,0.7,0.2,0.1,0,0
pso_eur,Q92817,3088,0.7,0.2,0.1,0,0
pso_eur,Q9UHB9,3099,0.7,0.2,0.1,0,0
pso_eur,Q9UPT5,3051,0.7,0.2,0.1,0,0
pso_eur,Q14558,3251,0.6,0.3,0.1,0,0
pso_eur,Q9C0C9,3378,0.7,0.2,0.1,0,0
pso_eur,Q8WWM9,3481,0.7,0.2,0.1,0,0
pso_eur,Q01130,3756,0.6,0.2,0.1,0,0
pso_eur,Q9UHD8,4199,0.6,0.2,0.1,0,0
pso_eur,P35580,2924,0.6,0.2,0.2,0,0
pso_eur,O43760,4323,0.4,0.2,0.2,0.1,0
pso_eur,Q32NB8,4759,0.4,0.3,0.2,0.1,0
pso_eur,Q15438,4127,0.5,0.2,0.2,0.1,0
pso_eur,P16035,4129,0.4,0.2,0.2,0.1,0
pso_eur,Q08380,4212,0.4,0.2,0.2,0.1,0
pso_eur,P10253,4235,0,0.7,0,0.2,0
pso_eur,P38919,4195,0.5,0.2,0.2,0.1,0
pso_eur,P51688,4216,0.4,0.2,0.1,0.1,0.1
pso_eur,Q63HN8,4137,0.5,0.2,0.2,0.1,0
pso_eur,Q8N122,3758,0.5,0.3,0.2,0.1,0
pso_eur,Q96FZ7,3873,0.6,0.2,0.2,0.1,0
