names1,names2,names3
NC165SP,[48] 165_S2-A8_1_9540.d.PG.Quantity,165_S2-A8_1_9540.d.PG.Quantity
NC166SP,[49] 166_S2-A9_1_9541.d.PG.Quantity,166_S2-A9_1_9541.d.PG.Quantity
NC169SP,[50] 169_S2-A10_1_9542.d.PG.Quantity,169_S2-A10_1_9542.d.PG.Quantity
NC173SP,[51] 173_S2-A11_1_9543.d.PG.Quantity,173_S2-A11_1_9543.d.PG.Quantity
NC175SP,[52] 175_S2-A12_1_9544.d.PG.Quantity,175_S2-A12_1_9544.d.PG.Quantity
NC176SP,[53] 176_S2-B1_1_9546.d.PG.Quantity,176_S2-B1_1_9546.d.PG.Quantity
NC177SP,[54] 177_S2-B2_1_9547.d.PG.Quantity,177_S2-B2_1_9547.d.PG.Quantity
NC178SP,[55] 178_S2-B3_1_9548.d.PG.Quantity,178_S2-B3_1_9548.d.PG.Quantity
NC181SP,[56] 181_S2-B4_1_9549.d.PG.Quantity,181_S2-B4_1_9549.d.PG.Quantity
NC183SP,[57] 183_S2-B5_1_9550.d.PG.Quantity,183_S2-B5_1_9550.d.PG.Quantity
NC184SP,[58] 184_S2-B6_1_9551.d.PG.Quantity,184_S2-B6_1_9551.d.PG.Quantity
NC185SP,[59] 185_S2-B7_1_9552.d.PG.Quantity,185_S2-B7_1_9552.d.PG.Quantity
NC186SP,[60] 186_S2-B8_1_9553.d.PG.Quantity,186_S2-B8_1_9553.d.PG.Quantity
NC187SP,[61] 187_S2-B9_1_9554.d.PG.Quantity,187_S2-B9_1_9554.d.PG.Quantity
NC188SP,[62] 188_S2-B10_1_9555.d.PG.Quantity,188_S2-B10_1_9555.d.PG.Quantity
NC189SP,[63] 189_S2-B11_1_9556.d.PG.Quantity,189_S2-B11_1_9556.d.PG.Quantity
NC190SP,[64] 190_S2-B12_1_9557.d.PG.Quantity,190_S2-B12_1_9557.d.PG.Quantity
NC194SP,[65] 194_S2-C1_1_9559.d.PG.Quantity,194_S2-C1_1_9559.d.PG.Quantity
NC195SP,[66] 195_S2-C2_1_9560.d.PG.Quantity,195_S2-C2_1_9560.d.PG.Quantity
NC197SP,[67] 197_S2-C3_1_9561.d.PG.Quantity,197_S2-C3_1_9561.d.PG.Quantity
NC199SP,[68] 199_S2-C4_1_9562.d.PG.Quantity,199_S2-C4_1_9562.d.PG.Quantity
NC201SP,[70] 201_S2-C5_1_9563.d.PG.Quantity,201_S2-C5_1_9563.d.PG.Quantity
NC202SP,[71] 202_S2-C6_1_9564.d.PG.Quantity,202_S2-C6_1_9564.d.PG.Quantity
NC203SP,[72] 203_S2-C7_1_9565.d.PG.Quantity,203_S2-C7_1_9565.d.PG.Quantity
NC206SP,[73] 206_S2-C8_1_9566.d.PG.Quantity,206_S2-C8_1_9566.d.PG.Quantity
NC207SP,[74] 207_S2-C9_1_9567.d.PG.Quantity,207_S2-C9_1_9567.d.PG.Quantity
NC216SP,[75] 216_S2-C10_1_9568.d.PG.Quantity,216_S2-C10_1_9568.d.PG.Quantity
NC217SP,[76] 217_S2-C11_1_9569.d.PG.Quantity,217_S2-C11_1_9569.d.PG.Quantity
NC219SP,[77] 219_S2-C12_1_9570.d.PG.Quantity,219_S2-C12_1_9570.d.PG.Quantity
NC221SP,[78] 221_S3-A1_1_9573.d.PG.Quantity,221_S3-A1_1_9573.d.PG.Quantity
NC222SP,[79] 222_S3-A2_1_9574.d.PG.Quantity,222_S3-A2_1_9574.d.PG.Quantity
NC223SP,[80] 223_S3-A3_1_9575.d.PG.Quantity,223_S3-A3_1_9575.d.PG.Quantity
NC224SP,[81] 224_S3-A4_1_9576.d.PG.Quantity,224_S3-A4_1_9576.d.PG.Quantity
NC225SP,[82] 225_S3-A5_1_9577.d.PG.Quantity,225_S3-A5_1_9577.d.PG.Quantity
NC226SP,[83] 226_S3-A6_1_9578.d.PG.Quantity,226_S3-A6_1_9578.d.PG.Quantity
NC227SP,[84] 227_S3-A7_1_9579.d.PG.Quantity,227_S3-A7_1_9579.d.PG.Quantity
NC228SP,[85] 228_S3-A8_1_9580.d.PG.Quantity,228_S3-A8_1_9580.d.PG.Quantity
NC231SP,[86] 231_S3-A9_1_9581.d.PG.Quantity,231_S3-A9_1_9581.d.PG.Quantity
NC232SP,[87] 232_S3-A10_1_9582.d.PG.Quantity,232_S3-A10_1_9582.d.PG.Quantity
NC235SP,[88] 235_S3-A11_1_9585.d.PG.Quantity,235_S3-A11_1_9585.d.PG.Quantity
NC238SP,[89] 238_S3-A12_1_9586.d.PG.Quantity,238_S3-A12_1_9586.d.PG.Quantity
