pro_id	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	P1	P2	P3	P4	relative_P4	relative_PP4
P02042	5985	0.387836221185468	0.198439727690359	0.258704254675134	0.132345575689351	0.0226742207596874	0.5985	0.5985	0.3581424	0.05985	0.143184421534937	0.146266614194281
P02144	2656	0.614289624091954	0.172654067607039	0.154113928531366	0.043300076524292	0.0156423032453493	0.2656	0.2656	0.0705168	0.02656	0.27359781121751	0.265382960553723
P02452	2758	0.642471118796579	0.151269140506417	0.156021935070792	0.0367216822813937	0.0135161233448183	0.2758	0.2758	0.07603806	0.02758	0.266169816342827	0.269042868738799
P02461	2231	0.647948727336291	0.137280138998115	0.164335460421836	0.0348019280420909	0.0156337452016673	0.2231	0.2231	0.0497513	0.02231	0.309597523219814	0.309973956848134
P02462	4745	0.186261967254408	0.462138057049638	0.0905031484322832	0.224512473029249	0.0365843542344222	0.4745	0.4745	0.2251028	0.04745	0.174094707520891	0.140117957838979
P02511	2848	0.600381937793774	0.161830078123069	0.174100057478151	0.0469110604476256	0.0167768661573805	0.2848	0.2848	0.08108256	0.02848	0.259942812581232	0.26342302303906
P02533	1496	0.703613486229304	0.14874238134435	0.108271792830343	0.0228719242854618	0.0165004153105417	0.1496	0.1496	0.0223652	0.01496	0.400801603206413	0.419086482537008
P02538	3980	0.493385959222671	0.203031322196058	0.200467851861876	0.0824730981940893	0.0206417685253054	0.398	0.398	0.1583642	0.0398	0.200843542880096	0.200182274215391
P02545	1672	0.740241351855155	0.10016590911203	0.131164640385599	0.017737879777456	0.0106902188697595	0.1672	0.1672	0.02793912	0.01672	0.374391613627855	0.37604410349148
P02585	3184	0.600548382516494	0.161687108613274	0.175478606413111	0.0472294776050826	0.015056424852038	0.3184	0.3184	0.10134672	0.03184	0.23906287353574	0.24173086136792
P02647	4138	0.521845203604463	0.19235263631149	0.195910401515705	0.0721950628584648	0.0176966957098767	0.4138	0.4138	0.17118906	0.04138	0.19466614755694	0.196866720506113
P02649	3706	0.541669585318675	0.189081014233056	0.186545453342903	0.0650999593287791	0.0176039877765874	0.3706	0.3706	0.1373073	0.03706	0.212539851222104	0.212855472957773
P02652	3357	0.577216819842718	0.176826237855117	0.176382640506953	0.0540180020991993	0.0155562996960131	0.3357	0.3357	0.11266092	0.03357	0.229568411386593	0.223592609550033
P02654	3712	0.503842999844668	0.183192641854863	0.213411466870839	0.077572449629161	0.0219804418004699	0.3712	0.3712	0.13775232	0.03712	0.212269157291446	0.220791596153758
P02655	3687	0.477618670463935	0.23608480372729	0.177009357479726	0.0874731312042388	0.0218140371248099	0.3687	0.3687	0.13590282	0.03687	0.213401621852326	0.19960291275121
P02686	5183	0.391046760118402	0.188802407611367	0.266753852514172	0.128767563054177	0.0246294167018819	0.5183	0.5183	0.26858306	0.05183	0.161759948236817	0.160559984564553
P02730	2560	0.649627868852428	0.163948667654971	0.138290546149332	0.0348875830900453	0.0132453342532233	0.256	0.256	0.0655104	0.0256	0.280977802753583	0.275182452764328
P02746	3374	0.559063984187496	0.182925109953406	0.180621742644787	0.0590809238123492	0.0183082394019623	0.3374	0.3374	0.11380502	0.03374	0.228675966155957	0.236573683466015
P02747	3375	0.56336725531847	0.18925885675157	0.171905874376792	0.0577327089149836	0.0177353046381839	0.3375	0.3375	0.1138725	0.03375	0.228623685413809	0.23500425946271
P02748	4091	0.442557580800869	0.190970574977929	0.238445406617421	0.102867794450478	0.0251586431533026	0.4091	0.4091	0.1673219	0.04091	0.196463654223969	0.196511311446188
P02749	3933	0.434709987334488	0.18502598608525	0.245625647754472	0.104515733230106	0.0301226455956845	0.3933	0.3933	0.15464556	0.03933	0.202757502027575	0.223730008177389
P02750	3281	0.534478650568675	0.170491692252694	0.208833789119555	0.0665956444988488	0.0196002235602277	0.3281	0.3281	0.1076168	0.03281	0.233644859813084	0.22739168363377
P02751	3145	0.591471177497143	0.166538524037954	0.176908498794097	0.0497962376361204	0.0152855620346862	0.3145	0.3145	0.0988788	0.03145	0.241312741312741	0.234866923041508
P02753	2840	0.633865549747943	0.153310867823571	0.160493475492726	0.038804476100913	0.0135256308348466	0.284	0.284	0.0806276	0.0284	0.26048450117218	0.258467479369966
P02760	2580	0.639521084481637	0.15853745630035	0.150167121930277	0.037211909237176	0.0145624280505607	0.258	0.258	0.0665382	0.0258	0.279407655769768	0.281267299852237
P02763	2887	0.620216814173648	0.150479535877661	0.172891469201877	0.0419331551696824	0.0144790255771317	0.2887	0.2887	0.08331882	0.02887	0.257334019557385	0.256664879560598
P02765	3485	0.540163641492968	0.186477209685664	0.18914178054971	0.0652772567491234	0.0189401115225338	0.3485	0.3485	0.1214174	0.03485	0.223015165031222	0.224895551965472
P02766	3511	0.542201284239173	0.20926393661331	0.166601996629836	0.0642828057318693	0.0176499767858121	0.3511	0.3511	0.1232361	0.03511	0.221729490022173	0.215420204751415
P02768	3147	0.46953448497679	0.278647470427739	0.137561580244587	0.0816039206786149	0.0326525436722689	0.3147	0.3147	0.09900462	0.03147	0.241196333815726	0.285782899530238
P02774	3489	0.536171457007919	0.175313123365016	0.203314570524268	0.0664594568003695	0.0187413923024288	0.3489	0.3489	0.12169632	0.03489	0.222816399286988	0.219967201028907
P02775	2537	0.640783601521901	0.153215144724276	0.154464836435062	0.0369188373539638	0.0146175799647983	0.2537	0.2537	0.06433832	0.02537	0.282805429864253	0.283635936009791
P02776	2548	0.630833961895297	0.152683699831448	0.162022436274608	0.03919978936217	0.0152601126364763	0.2548	0.2548	0.06489756	0.02548	0.281928390188892	0.280208228007014
P02786	3036	0.551791095573614	0.160868031609179	0.207697810791065	0.0605326786170295	0.0191103834091129	0.3036	0.3036	0.0921426	0.03036	0.247831474597274	0.239950385167763
P02787	3898	0.259806890711813	0.0911594585317513	0.454341772162239	0.159381361709133	0.0353105168850647	0.3898	0.3898	0.15190506	0.03898	0.204206657137023	0.181366152199207
P02788	3049	0.515645235345314	0.152603744472264	0.229714764608649	0.0679493459565254	0.0340869096172476	0.3049	0.3049	0.09293352	0.03049	0.24703557312253	0.334066645483698
P02790	5279	0.394201146588908	0.18997431147558	0.26458861673682	0.127487398317327	0.0237485268813647	0.5279	0.5279	0.27862562	0.05279	0.159286396941701	0.15702966639814
P02792	3531	0.520739290898683	0.158071274865509	0.231746635848702	0.0703279605887121	0.0191148377983942	0.3531	0.3531	0.1246443	0.03531	0.22075055187638	0.213710194035585
P02794	1942	0.668535575993963	0.101976970729185	0.18657813182934	0.0284457611030599	0.0144635603444523	0.1942	0.1942	0.03769422	0.01942	0.340020401224073	0.337072688556601
P03950	3421	0.523956419129635	0.20077824221594	0.177621927116313	0.0680344838162161	0.0296089277218963	0.3421	0.3421	0.1169982	0.03421	0.226244343891403	0.303235284956623
P03952	4482	0.422872458625517	0.190463436256379	0.250583236174605	0.112840445201915	0.0232404237415833	0.4482	0.4482	0.20083842	0.04482	0.182448458310527	0.170783916372792
P04003	2244	0.685305473560595	0.130723336907501	0.144454129199568	0.0275429287950701	0.0119741315372655	0.2244	0.2244	0.05033292	0.02244	0.308356460067838	0.303011697645623
P04004	2111	0.651164891810469	0.159352666174222	0.138387389379842	0.0338488293897294	0.017246223245738	0.2111	0.2111	0.0445421	0.02111	0.321543408360129	0.337532155388497
P04040	3952	0.46850834814587	0.197167829410947	0.219941213702928	0.0925385807230779	0.0218440280171767	0.3952	0.3952	0.15614352	0.03952	0.201979398101394	0.190973332902217
P04062	1665	0.745312616691754	0.124093214489515	0.103239728008095	0.0171790542395339	0.0101753865711021	0.1665	0.1665	0.0277056	0.01665	0.375375375375375	0.37198298592694
P04066	2911	0.59980467925214	0.170348052328502	0.165513188978259	0.0469893732345072	0.0173447062065928	0.2911	0.2911	0.0847101	0.02911	0.255754475703325	0.269603705489754
P04075	1494	0.684361565603396	0.0902995314025581	0.186216787431714	0.0245562011910953	0.0145659143712369	0.1494	0.1494	0.02230542	0.01494	0.401123144805455	0.372319189846199
P04080	2428	0.22815292038164	0.0987413782480314	0.276573821801593	0.119420152310974	0.277111727257762	0.2428	0.2428	0.05892756	0.02428	0.291800408520572	0.698838457980089
P04083	885	0.82092844469725	0.100142943128167	0.0627577644797017	0.00764713407206812	0.00852371362281313	0.0885	0.0885	0.0078234	0.00885	0.530785562632696	0.527103698188391
P04114	2709	0.61189903219807	0.16227558407583	0.164773991547217	0.0436806812745339	0.0173707109043487	0.2709	0.2709	0.07335972	0.02709	0.269687162891046	0.284526040838707
P04150	3623	0.559340370717932	0.182561625837947	0.181989077003179	0.059382207314194	0.0167267191267483	0.3623	0.3623	0.13122506	0.03623	0.216356555603635	0.219773420923597
P04156	4170	0.43406419269344	0.154321988969747	0.286507421252461	0.101838151900798	0.0232682451835535	0.417	0.417	0.1738473	0.0417	0.193461017604953	0.185987653116292
P04180	1514	0.756032794534272	0.106093570113875	0.111886418738997	0.0156906488106169	0.0102965678022385	0.1514	0.1514	0.02290682	0.01514	0.397930760047752	0.396216645885229
P04181	4096	0.450001480635581	0.159127662815902	0.272645533299415	0.0963899507172681	0.0218353725318342	0.4096	0.4096	0.1677312	0.04096	0.196270853778214	0.184692855403126
P04216	3696	0.520426766298898	0.198317948736579	0.189104193014575	0.0720414330685301	0.0201096588814178	0.3696	0.3696	0.1365672	0.03696	0.212992545260916	0.218224857198007
P04217	2209	0.657122027416698	0.158928651762516	0.136190266254405	0.032923545028519	0.0148355095378625	0.2209	0.2209	0.04877472	0.02209	0.311720698254364	0.310632395732254
P04233	4730	0.441447793095855	0.213398566614483	0.216194937165953	0.104485483386853	0.024473219736856	0.473	0.473	0.2236817	0.0473	0.174550532379124	0.189775634711363
P04259	4028	0.433289232198653	0.228824969300742	0.201059134549297	0.10615093893783	0.0306757250134787	0.4028	0.4028	0.16220756	0.04028	0.198925800676348	0.224194057851144
P04264	4025	0.477955002356059	0.186201578099831	0.225245328197771	0.0877281429362608	0.0228699484100779	0.4025	0.4025	0.161966	0.04025	0.199044585987261	0.206784295566734
P04271	1628	0.643735527814494	0.0952689972982833	0.207202324842788	0.030641549775875	0.0231516002685595	0.1628	0.1628	0.02648756	0.01628	0.380662352493338	0.430381939883344
