pro_id,age_group,rho_age,rho_p_age
O14497,age3,0.216034536,0.148978164
O14497,age4,-0.056891767,0.70327113
O14498,age1,0.337203677,0.013921011
O14498,age2,0.344863732,0.011804351
O14498,age3,0.243663275,0.102715952
O14498,age4,0.18640148,0.208979211
O14521,age1,-0.213755846,0.124161609
O14521,age2,0.037735849,0.787997406
O14521,age3,0.047548566,0.753035372
O14521,age4,0.025208141,0.866206326
O14530,age1,-0.176100629,0.206576013
O14530,age2,0.136429608,0.329002137
O14530,age3,-0.213814369,0.153277618
O14530,age4,0.032608696,0.827373023
O14545,age1,0.223351072,0.107859706
O14545,age2,0.168037413,0.228377064
O14545,age3,0.081714462,0.588188917
O14545,age4,0.040240518,0.787753777
O14548,age1,0.095307209,0.496131133
O14548,age2,-0.249959684,0.071238439
O14548,age3,0.0386679,0.798135064
O14548,age4,0.129625347,0.38397657
O14561,age1,-0.150540235,0.281058511
O14561,age2,0.093613933,0.503844667
O14561,age3,-0.099845822,0.507904193
O14561,age4,-0.015494912,0.91764252
O14562,age1,0.117722948,0.400075904
O14562,age2,-0.135703919,0.331600229
O14562,age3,-0.116867098,0.43799428
O14562,age4,0.040356152,0.787157314
O14579,age1,0.024270279,0.862789335
O14579,age2,0.250766005,0.070308217
O14579,age3,0.149429541,0.320502162
O14579,age4,0.196808511,0.184321788
O14617,age1,0.097484277,0.48630501
O14617,age2,-0.011288502,0.936060049
O14617,age3,0.302004317,0.041789817
O14617,age4,-0.066720629,0.654958754
O14618,age1,-0.303983229,0.027300166
O14618,age2,0.101193356,0.469804091
O14618,age3,-0.011039161,0.942040104
O14618,age4,-0.046716004,0.754548235
O14639,age1,0.254958878,0.06562689
O14639,age2,0.256329624,0.064152097
O14639,age3,0.035460993,0.814592405
O14639,age4,0.242368178,0.100718762
O14641,age1,-0.143767134,0.303459993
O14641,age2,-0.182309305,0.190826752
O14641,age3,-0.110699969,0.462679968
O14641,age4,0.052844588,0.723522854
O14653,age1,-0.251491695,0.069479365
O14653,age2,0.086679568,0.536067239
O14653,age3,-0.195929695,0.191312291
O14653,age4,-0.032030527,0.830393351
O14656,age1,0.009756491,0.944754017
O14656,age2,-0.051685212,0.712493283
O14656,age3,0.140548874,0.350352463
O14656,age4,0.098057354,0.510801848
O14657,age1,-0.201177229,0.148296807
O14657,age2,0.245928076,0.076038392
O14657,age3,-0.118717237,0.430735204
O14657,age4,-0.020004625,0.893706564
O14662,age1,-0.168601838,0.22680079
O14662,age2,0.187227866,0.178977892
O14662,age3,0.294727105,0.047167878
O14662,age4,0.006475486,0.965712289
O14672,age1,0.017416546,0.901368735
O14672,age2,0.025721658,0.854657375
O14672,age3,0.267715079,0.07228317
O14672,age4,-0.141304348,0.342297613
O14681,age1,0.040074182,0.775182312
O14681,age2,0.22028705,0.112874559
O14681,age3,0.141042245,0.348650412
O14681,age4,0.187442183,0.206413627
O14683,age1,0.14360587,0.304007118
O14683,age2,-0.033462345,0.811561415
O14683,age3,0.135368486,0.368532746
O14683,age4,0.034574468,0.817122765
O14684,age1,-0.113771972,0.416164239
O14684,age2,-0.005886147,0.96674412
O14684,age3,-0.087264878,0.563014203
O14684,age4,0.182469935,0.218874389
O14727,age1,0.059909692,0.669183945
O14727,age2,-0.128769553,0.357077318
O14727,age3,0.079617638,0.597829477
O14727,age4,-0.165009251,0.26676509
O14732,age1,0.33059184,0.01600343
O14732,age2,0.224963716,0.105290484
O14732,age3,0.296823928,0.045563183
O14732,age4,0.311979648,0.033220472
O14734,age1,0.002338333,0.986923867
O14734,age2,-0.016771488,0.905012927
O14734,age3,-0.107246377,0.476827295
O14734,age4,-0.137488437,0.355593759
O14735,age1,0.10320916,0.460964766
O14735,age2,-0.00298339,0.983253843
O14735,age3,0.100585877,0.504750609
O14735,age4,0.000231267,0.999073027
O14737,age1,0.127721335,0.361030707
O14737,age2,-0.009917755,0.943838542
O14737,age3,-0.146592661,0.329856312
O14737,age4,-0.073543016,0.622219627
O14744,age1,0.123447831,0.377424486
O14744,age2,0.239316239,0.08446487
O14744,age3,0.232069072,0.120548866
O14744,age4,0.188714154,0.203308286
O14745,age1,0.270843412,0.050118754
O14745,age2,0.284873408,0.039047625
O14745,age3,0.117360469,0.436051853
O14745,age4,0.071924144,0.629925633
O14772,age1,0.066440897,0.635533773
O14772,age2,0.214400903,0.123009953
O14772,age3,0.010052421,0.94724221
O14772,age4,-0.168246994,0.257392824
O14773,age1,-0.019996775,0.886813028
O14773,age2,0.000886954,0.995182295
O14773,age3,0.264014801,0.07643007
O14773,age4,-0.28619334,0.051506438
O14776,age1,0.133607483,0.339178437
O14776,age2,0.252459281,0.068386445
O14776,age3,-0.036941104,0.806986336
O14776,age4,0.258672525,0.079317243
O14786,age1,0.539187228,4.13E-05
O14786,age2,0.389050153,0.004229457
O14786,age3,0.235646007,0.11481231
O14786,age4,0.210453284,0.155269428
O14787,age1,0.059506531,0.671283442
O14787,age2,0.228027737,0.100539986
O14787,age3,0.362318841,0.013787452
O14787,age4,0.094703978,0.525421208
O14791,age1,-0.01532011,0.913219401
O14791,age2,-0.041606193,0.766818336
O14791,age3,0.22146161,0.138846654
O14791,age4,0.070767808,0.63545413
O14802,age1,-0.060796646,0.664573963
O14802,age2,0.034752459,0.804429105
O14802,age3,-0.06062288,0.688145355
O14802,age4,-0.323889917,0.02681653
O14807,age1,-0.012497984,0.929201602
O14807,age2,0.0205612,0.883633768
O14807,age3,-0.050878816,0.7363237
O14807,age4,0.034690102,0.816520739
O14818,age1,-0.001209482,0.993347015
O14818,age2,-0.022173843,0.874560431
O14818,age3,0.279309282,0.060439343
O14818,age4,-0.148011101,0.319691088
O14828,age1,0.077971295,0.577918679
O14828,age2,0.188356717,0.17633564
O14828,age3,-0.182485353,0.22405252
O14828,age4,0.022086031,0.882689651
O14874,age1,0.003950976,0.977749481
O14874,age2,0.011852927,0.932858832
O14874,age3,0.088868332,0.555837016
O14874,age4,0.000693802,0.996601108
O14879,age1,0.331317529,0.015762525
O14879,age2,0.08490566,0.544470104
O14879,age3,0.042984891,0.776119508
O14879,age4,0.441026827,0.002106213
O14880,age1,0.22625383,0.103269487
O14880,age2,0.156990808,0.260770442
O14880,age3,0.053592353,0.722795693
O14880,age4,0.195305273,0.187747428
O14896,age1,0.229721013,0.09798729
O14896,age2,-0.07256894,0.604614776
O14896,age3,-0.223065063,0.135954502
O14896,age4,0.13286309,0.372129672
O14907,age1,-0.148040639,0.289194387
O14907,age2,0.439848412,0.00109479
O14907,age3,0.16373728,0.275926978
O14907,age4,0.127543941,0.391709854
O14908,age1,0.039993549,0.775623238
O14908,age2,-0.239396871,0.084357837
