pro_id,NC100,NC101,NC102,NC103,NC104,NC105,NC106,NC107,NC108,NC110,NC112,NC114,NC115,NC116,NC120,NC121,NC122,NC123,NC124,NC126,NC127,NC128,NC129,NC012,NC130,NC131,NC132,NC133,NC138,NC139,NC013,NC140,NC141,NC143,NC144,NC146,NC147,NC148,NC149,NC150,NC151,NC152,NC153,NC157,NC158,NC163,NC164,NC165,NC166
A0AVT1,166.5971985,179.0515594,136.7454071,174.0057373,145.5656433,184.3803406,177.7667847,158.7216339,140.9700928,151.2702484,200.1326752,128.4712219,147.4750519,196.8326263,133.2032166,157.1598206,152.5611572,139.3197327,193.4809875,214.7640533,188.6384583,141.8765411,165.2359924,134.7595673,178.6108398,177.5447388,173.7023773,151.9395142,105.0581436,156.1022644,154.5879364,191.4943237,135.2150879,169.4207611,162.6063843,136.7808228,195.9642487,206.088623,168.7615967,160.7407074,171.3742981,156.0090332,132.0502472,135.6055145,192.8638,112.1609879,123.3325424,135.172821,136.3002472
A0FGR8,185.159317,197.9764099,260.8526001,204.6191101,228.4102173,203.9462585,196.2779236,233.2563019,281.3078308,198.1217041,225.4791718,200.9803009,247.5925598,187.6963348,238.2931671,260.5656433,225.8004456,213.5557556,224.4482117,218.1093597,217.3549194,245.3009491,199.5469055,173.7900543,210.86409,204.1649475,312.8626099,215.886673,385.7015076,220.1319427,186.3390808,245.2187195,214.9025269,220.6220398,216.0363464,236.5372009,213.5914154,183.7848358,153.6432953,217.7125244,185.8425751,219.436554,206.3927612,223.1401215,200.9794922,217.191803,238.6793823,226.0406494,202.9809418
A0MZ66,116.0659561,84.28642273,84.38454437,124.2744675,64.68276978,57.52828217,81.10637665,68.60626221,66.40402985,72.07945251,83.88563538,59.8959465,73.57036591,61.2911377,44.83323669,40.81799316,83.83666992,77.5774231,50.06758499,64.73026276,48.17450714,62.5593605,63.06785202,65.36290741,91.64299011,88.6832962,111.9485474,85.48591614,57.59765625,86.33364105,59.99937057,89.23747253,74.02362061,87.95667267,102.7311325,50.01280594,83.74246979,70.12213898,58.94179916,45.51962662,77.48511505,67.67041779,78.56087494,66.9230957,84.25782013,69.07952118,61.16781616,65.5690918,64.56484222
A0PJW8,4.347589016,4.347589016,4.347589016,55.60774994,128.3427277,4.347589016,4.347589016,4.347589016,4.347589016,33.8903389,165.0368347,53.46739578,298.7603149,4.347589016,4.347589016,4.347589016,4.347589016,4.347589016,195.5182495,37.34202194,348.5814819,77.21671295,4.347589016,4.347589016,4.347589016,23.96353722,4.347589016,4.347589016,4.347589016,42.3247261,27.29774284,4.347589016,4.347589016,4.347589016,12.67357635,4.347589016,4.347589016,4.347589016,4.347589016,39.04183197,4.347589016,105.7932434,4.347589016,4.347589016,4.347589016,17.07282448,4.347589016,4.347589016,4.347589016
A1A4S6,6.991125585,6.991125585,59.97544098,31.00450897,31.91879654,6.991125585,75.91648102,44.59357452,30.79954147,32.44524384,45.39234924,24.93722153,6.991125585,33.63271713,6.991125585,30.88101959,6.991125585,39.09638977,40.97998047,34.83709335,36.85403824,6.991125585,52.58747864,6.991125585,6.991125585,47.14499283,6.991125585,6.991125585,45.38565063,30.96702003,6.991125585,6.991125585,6.991125585,6.991125585,55.747612,50.40556335,24.80831146,46.7444725,44.88885498,21.71142387,6.991125585,37.99866486,6.991125585,6.991125585,6.991125585,21.48043823,6.991125585,6.991125585,152.6405334
A1A5B4,2.157672405,2.157672405,2.157672405,15.18423557,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,18.4629612,2.157672405,2.157672405,2.157672405,27.55014992,2.157672405,9.51984787,2.157672405,2.157672405,2.157672405,66.73274231,2.157672405,11.85736275,2.157672405,8.991800308,2.157672405,39.36907959,2.157672405,2.157672405,2.157672405,10.36430168,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405,2.157672405
A1A5D9,48.26335907,116.7770004,104.4140778,105.4090195,57.99755096,1.244217396,18.68584251,92.5475235,51.60389709,44.73244095,1.244217396,62.84649658,27.93006325,14.44044781,1.244217396,1.244217396,13.83319569,5.10866785,52.84130478,1.244217396,124.1435013,125.967308,12.71517849,1.244217396,5.220881939,9.511666298,30.02327538,91.57534027,1.244217396,108.5574722,3.379317284,81.16577148,10.45144176,10.52443695,59.55336761,76.86398315,3.812433004,5.538547993,1.244217396,2.488434792,75.28543091,16.9898243,62.40374374,62.41375351,1.244217396,29.04701614,34.85476303,17.19872284,65.90209198
A1IGU5,32.31608963,15.1386013,20.62368393,27.63076591,20.57297707,12.6100893,14.50461864,18.36866951,34.01058578,29.78597069,22.51859665,36.29852295,3.204327345,16.2245903,3.204327345,11.65030003,36.45729065,13.75663853,19.30475044,16.30529022,15.77506256,27.21761322,30.38790321,21.78324509,45.06771851,49.70611572,13.90932846,31.40012169,12.19579315,36.18418884,19.0312252,8.609703064,31.77099037,26.16962242,27.15323639,33.39720535,43.54868698,23.6955719,42.66996384,17.57314301,21.74011803,36.3344574,24.11480522,23.1400528,22.88011742,32.42316437,21.65291595,28.90295982,29.43364906
A1L0T0,45.3564949,9.252415657,46.17456055,20.81558418,42.59628296,37.87268829,47.51279068,40.23506927,61.84109879,36.58753586,41.04899979,42.61628342,91.15934753,55.64700699,26.86232376,69.7389679,40.3553772,72.73988342,33.28783798,41.78395844,64.51961517,67.56266785,46.64881134,29.28953743,42.36943054,57.19412994,46.35345459,52.87046814,71.44847107,57.63502884,51.87932205,102.2120361,60.30026627,72.61305237,63.3111763,64.57301331,76.78988647,46.3314743,72.03565979,68.8128891,27.93254471,53.66461182,62.22745514,50.22000122,24.02064514,44.24127579,26.17016983,41.45093155,24.40917778
A1L3X0,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,129.5891876,6.552067755,6.552067755,6.552067755,77.13821411,6.552067755,6.552067755,6.552067755,6.552067755,50.03359985,6.552067755,80.07002258,6.552067755,6.552067755,6.552067755,6.552067755,6.552067755,36.40947342,6.552067755,6.552067755,6.552067755,6.552067755,31.11963272
A1X283,103.76091,82.56480408,125.1918182,127.7344284,129.1470184,212.8111877,213.4069519,213.3839569,138.5954437,103.2616577,114.9089966,100.7522354,123.9670868,146.1205444,148.7298279,22.02606392,182.5749054,136.0050507,117.2975845,123.5078659,156.432373,122.7459183,138.7137756,139.5664673,156.5302887,78.58531189,220.2695923,89.0627594,119.6365738,135.7167206,115.0596466,246.9994965,106.5243378,75.79058838,119.9371262,116.0940094,109.4626846,209.285614,103.3657913,133.9710083,191.4983978,91.24581909,149.6481934,187.6862488,100.7057648,169.5812683,110.993248,120.5386581,86.56163788
